Handel, Andreas (Author)
Time span:1900-2021. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Heightened self-reactivity associated with selective survival, but not expansion, of naive virus-specific CD8(+) T cells in aged mice","Quinn, Kylie M.; Zaloumis, Sophie G.; Cukalac, Tania; Kan, Wan-Ting; Sng, Xavier Y. X.; Mirams, Michiko; Watson, Katherine A.; McCaw, James M.; Doherty, Peter C.; Thomas, Paul G.; Handel, Andreas; La Gruta, Nicole L.","","","","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","FEB 2 2016","2016","113","5","","","","1333","1338","","10.1073/pnas.1525167113","","","24","4.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","7","2","4","7","3"
"How sticky should a virus be? The impact of virus binding and release on transmission fitness using influenza as an example","Handel, Andreas; Akin, Victoria; Pilyugin, Sergei S.; Zarnitsyna, Veronika; Antia, Rustom","","","","JOURNAL OF THE ROYAL SOCIETY INTERFACE","MAR 6 2014","2014","11","92","","","","","","20131083","10.1098/rsif.2013.1083","","","20","2.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","5","2","4","2","3","2","0"
"Oseltamivir Prophylaxis Reduces Inflammation and Facilitates Establishment of Cross-Strain Protective T Cell Memory to Influenza Viruses","Bird, Nicola L.; Olson, Matthew R.; Hurt, Aeron C.; Oshansky, Christine M.; Oh, Ding Yuan; Reading, Patrick C.; Chua, Brendon Y.; Sun, Yilun; Tang, Li; Handel, Andreas; Jackson, David C.; Turner, Stephen J.; Thomas, Paul G.; Kedzierska, Katherine","","","","PLOS ONE","JUN 18 2015","2015","10","6","","","","","","e0129768","10.1371/journal.pone.0129768","","","19","2.71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","1","3","3","4","2"
"Mathematical Model Reveals the Role of Memory CD8 T Cell Populations in Recall Responses to Influenza","Zarnitsyna, Veronika I.; Handel, Andreas; McMaster, Sean R.; Hayward, Sarah L.; Kohlmeier, Jacob E.; Antia, Rustom","","","","FRONTIERS IN IMMUNOLOGY","MAY 9 2016","2016","7","","","","","","","165","10.3389/fimmu.2016.00165","","","18","3.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","6","6","1","1"
"Gap junction-mediated antigen transport in immune responses","Handel, Andreas; Yates, Andrew; Pilyugin, Sergei S.; Antia, Rustorn","","","","TRENDS IN IMMUNOLOGY","NOV 2007","2007","28","11","","","","463","466","","10.1016/j.it.2007.08.006","","","18","1.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","0","3","1","3","1","1","1","1","1","0","1","0"
"Exploring the impact of inoculum dose on host immunity and morbidity to inform model-based vaccine design","Handel, Andreas; Li, Yan; McKay, Brian; Pawelek, Kasia A.; Zarnitsyna, Veronika; Antia, Rustom","","","","PLOS COMPUTATIONAL BIOLOGY","OCT 2018","2018","14","10","","","","","","e1006505","10.1371/journal.pcbi.1006505","","","17","4.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","6","7"
"Intervention strategies for an influenza pandemic taking into account secondary bacterial infections","Handel, Andreas; Longini, Ira M., Jr.; Antia, Rustom","","","","EPIDEMICS","SEP 2009","2009","1","3","","","","185","195","","10.1016/j.epidem.2009.09.001","","","16","1.23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","0","0","1","2","0","1","2","2","2","1"
"Targeting pediatric versus elderly populations for norovirus vaccines: a model-based analysis of mass vaccination options","Steele, Molly K.; Remais, Justin V.; Gambhir, Manoj; Glasser, John W.; Handel, Andreas; Parashar, Umesh D.; Lopman, Benjamin A.","","","","EPIDEMICS","DEC 2016","2016","17","","","","","42","49","","10.1016/j.epidem.2016.10.006","","","15","2.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","3","3","4"
"A simple mathematical model helps to explain the immunodominance of CD8 T cells in influenza A virus infections","Handel, Andreas; Antia, Rustorn","","","","JOURNAL OF VIROLOGY","AUG 2008","2008","82","16","","","","7768","7772","","10.1128/JVI.00653-08","","","15","1.07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","1","1","2","1","3","1","1","0","0","0"
"Is IPT more effective in high-burden settings? Modelling the effect of tuberculosis incidence on IPT impact","Ragonnet, R.; Trauer, J. M.; McBryde, E. S.; Houben, R. M. G. J.; Denholm, J. T.; Handel, A.; Sumner, T.","","","","INTERNATIONAL JOURNAL OF TUBERCULOSIS AND LUNG DISEASE","JAN 2017","2017","21","1","","","","60","66","","10.5588/ijtld.16.0297","","","14","2.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","6","4","0"
"Within-Host Models of High and Low Pathogenic Influenza Virus Infections: The Role of Macrophages","Pawelek, Kasia A.; Dor, Daniel, Jr.; Salmeron, Cristian; Handel, Andreas","","","","PLOS ONE","FEB 26 2016","2016","11","2","","","","","","e0150568","10.1371/journal.pone.0150568","","","13","2.17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","2","5","0"
"Effectiveness of WHO's pragmatic screening algorithm for child contacts of tuberculosis cases in resource-constrained settings: a prospective cohort study in Uganda","Martinez, Leonardo; Shen, Ye; Handel, Andreas; Chakraburty, Srijita; Stein, Catherine M.; Malone, LaShaunda L.; Boom, W. Henry; Quinn, Frederick D.; Joloba, Moses L.; Whalen, Christopher C.; Zalwango, Sarah","","","","LANCET RESPIRATORY MEDICINE","APR 2018","2018","6","4","","","","276","286","","10.1016/S2213-2600(17)30497-6","","","11","2.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","3","2"
"Four Degrees of Separation: Social Contacts and Health Providers Influence the Steps to Final Diagnosis of Active Tuberculosis Patients in Urban Uganda","Sekandi, Juliet N.; Zalwango, Sarah; Martinez, Leonardo; Handel, Andreas; Kakaire, Robert; Nkwata, Allan K.; Ezeamama, Amara E.; Kiwanuka, Noah; Whalen, Christopher C.","","","","BMC INFECTIOUS DISEASES","AUG 21 2015","2015","15","","","","","","","361","10.1186/s12879-015-1084-8","","","11","1.57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","3","2","3"
"Impact of a Rapid Point of Care Test for Influenza on Guideline Consistent Care and Antibiotic Use","Dale, Ariella Perry; Ebell, Mark; McKay, Brian; Handel, Andreas; Forehand, Ronald; Dobbin, Kevin","","","","JOURNAL OF THE AMERICAN BOARD OF FAMILY MEDICINE","MAR-APR 2019","2019","32","2","","","","226","233","","10.3122/jabfm.2019.02.180183","","","10","3.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0"
"Performance of the QuantiFERON (R)-TB Gold In-Tube assay in tuberculin skin test converters: a prospective cohort study","Castellanos, M. E.; Kirimunda, S.; Martinez, L.; Quach, T.; Woldu, H.; Kakaire, R.; Handel, A.; Zalwango, S.; Kiwanuka, N.; Whalen, C. C.","","","","INTERNATIONAL JOURNAL OF TUBERCULOSIS AND LUNG DISEASE","SEP 2018","2018","22","9","","","","1000","+","","10.5588/ijtld.18.0073","","","10","2.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","2","2"
"Influenza Epitope-Specific CD8(+) T Cell Avidity, but Not Cytokine Polyfunctionality, Can Be Determined by TCR beta Clonotype","Moffat, Jessica M.; Handel, Andreas; Doherty, Peter C.; Turner, Stephen J.; Thomas, Paul G.; La Gruta, Nicole L.","","","","JOURNAL OF IMMUNOLOGY","DEC 1 2010","2010","185","11","","","","6850","6856","","10.4049/jimmunol.1002025","","","10","0.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","2","0","0","2","1","0","1","0"
"Simulation modelling for immunologists","Handel, Andreas; La Gruta, Nicole L.; Thomas, Paul G.","","","","NATURE REVIEWS IMMUNOLOGY","MAR 2020","2020","20","3","","","","186","195","","10.1038/s41577-019-0235-3","","","8","4.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","3"
"Sharing the burden: antigen transport and rebreaks in immune responses","Handel, Andreas; Yates, Andrew; Pilyugin, Sergei S.; Antia, Rustom","","","","JOURNAL OF THE ROYAL SOCIETY INTERFACE","MAY 6 2009","2009","6","34","","","","447","454","","10.1098/rsif.2008.0258","","","8","0.62","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","2","3","0","0","0","0","0","1","0"
"A Risk Classification Model to Predict Mortality Among Laboratory-Confirmed Avian Influenza A H7N9 Patients: A Population-Based Observational Cohort Study","Martinez, Leonardo; Cheng, Wei; Wang, Xiaoxiao; Ling, Feng; Mu, Lan; Li, Changwei; Huo, Xiang; Ebell, Mark H.; Huang, Haodi; Zhu, Limei; Li, Chao; Chen, Enfu; Handel, Andreas; Shen, Ye","","","","JOURNAL OF INFECTIOUS DISEASES","DEC 2019","2019","220","11","","","","1780","1789","","10.1093/infdis/jiz328","","","7","2.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","3"
"Modeling the Potential Impact of Host Population Survival on the Evolution of M. tuberculosis Latency","Zheng, Nibiao; Whalen, Christopher C.; Handel, Andreas","","","","PLOS ONE","AUG 26 2014","2014","9","8","","","","","","e105721","10.1371/journal.pone.0105721","","","7","0.88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","1","2","0","1","0"
"Pattern selection and control via localized feedback","Handel, A; Grigoriev, RO","","","","PHYSICAL REVIEW E","DEC 2005","2005","72","6","2","","","","","066208","10.1103/PhysRevE.72.066208","","","7","0.41","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","1","1","0","0","0","1","0","1","0"
"Association of host, agent and environment characteristics and the duration of incubation and symptomatic periods of norovirus gastroenteritis","Devasia, T.; Lopman, B.; Leon, J.; Handel, A.","","","","EPIDEMIOLOGY AND INFECTION","AUG 2015","2015","143","11","","","","2308","2314","","10.1017/S0950268814003288","","","6","0.86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","1","0"
"Non-normality and the localized control of extended systems","Grigoriev, RO; Handel, A","","","","PHYSICAL REVIEW E","DEC 2002","2002","66","6","2","","","","","067201","10.1103/PhysRevE.66.067201","","","6","0.30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"How to Minimize the Attack Rate during Multiple Influenza Outbreaks in a Heterogeneous Population","Fung, Isaac Chun-Hai; Antia, Rustom; Handel, Andreas","","","","PLOS ONE","JUN 11 2012","2012","7","6","","","","","","e36573","10.1371/journal.pone.0036573","","","5","0.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","1","0","0","1"
"A Cluster of Novel Coronavirus Disease 2019 Infections Indicating Person-to-Person Transmission Among Casual Contacts From Social Gatherings: An Outbreak Case-Contact Investigation","Shen, Ye; Xu, Wenjie; Li, Changwei; Handel, Andreas; Martinez, Leonardo; Ling, Feng; Ebell, Mark; Fu, Xiaofei; Pan, Jinren; Ren, Jiangping; Gu, Weiling; Chen, Enfu","","","","OPEN FORUM INFECTIOUS DISEASES","JUN 2020","2020","7","6","","","","","","ofaa231","10.1093/ofid/ofaa231","","","4","2.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2"
"Spectral theory for the failure of linear control in a nonlinear stochastic system","Grigoriev, RO; Handel, A","","","","PHYSICAL REVIEW E","DEC 2002","2002","66","6","2","","","","","065301","10.1103/PhysRevE.66.065301","","","4","0.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"Indirect benefits are a crucial consideration when evaluating SARS-CoV-2 vaccine candidates","Gallagher, Molly E.; Sieben, Andrew J.; Nelson, Kristin N.; Kraay, Alicia N. M.; Orenstein, Walter A.; Lopman, Ben; Handel, Andreas; Koelle, Katia","","","","NATURE MEDICINE","JAN 2021","2021","27","1","","","","4","5","","10.1038/s41591-020-01172-x","","","3","1.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"Varying Inoculum Dose to Assess the Roles of the Immune Response and Target Cell Depletion by the Pathogen in Control of Acute Viral Infections","Moore, James R.; Ahmed, Hasan; Manicassamy, Balaji; Garcia-Sastre, Adolfo; Handel, Andreas; Antia, Rustom","","","","BULLETIN OF MATHEMATICAL BIOLOGY","MAR 3 2020","2020","82","3","","","","","","35","10.1007/s11538-020-00711-4","","","3","1.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"An attempt to reproduce a previous meta-analysis and a new analysis regarding the impact of directly observed therapy on tuberculosis treatment outcomes","Mckay, Brian; Castellanos, Maria; Ebell, Mark; Whalen, Christopher C.; Handel, Andreas","","","","PLOS ONE","MAY 23 2019","2019","14","5","","","","","","e0217219","10.1371/journal.pone.0217219","","","3","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1"
"Transient dynamics and nonlinear stability of spatially extended systems","Handel, Andreas; Grigoriev, Roman O.","","","","PHYSICAL REVIEW E","SEP 2006","2006","74","3","2","","","","","036302","10.1103/PhysRevE.74.036302","","","3","0.19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0"
"A software package for immunologists to learn simulation modeling","Handel, Andreas","","","","BMC IMMUNOLOGY","JAN 2 2020","2020","21","1","","","","","","1","10.1186/s12865-019-0321-0","","","2","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"Intermediate levels of vaccination coverage may minimize seasonal influenza outbreaks","Zarnitsyna, Veronika, I; Bulusheva, Irina; Handel, Andreas; Longini, Ira M.; Halloran, M. Elizabeth; Antia, Rustom","","","","PLOS ONE","JUN 26 2018","2018","13","6","","","","","","e0199674","10.1371/journal.pone.0199674","","","2","0.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0"
